"City","Population","Transect","Plant","Lat.pop","Long.pop","HCN_Result","Locus.Li","Locus.Ac","Dmg.1","Dmg.2","Dmg.Avg","Distance"
"Atlanta","18","NA",10,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",11,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",12,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",13,33.611845,-84.519007,0,"0","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",14,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",15,33.611845,-84.519007,0,"0","1",NA,NA,NA,19.4822927027589
"Atlanta","19","NA",1,33.619172,-84.510247,0,"0","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",2,33.619172,-84.510247,0,"0","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",3,33.619172,-84.510247,0,"1","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",4,33.619172,-84.510247,1,"1","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",5,33.619172,-84.510247,1,"1","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",6,33.619172,-84.510247,1,"1","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",7,33.619172,-84.510247,0,"1","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",8,33.619172,-84.510247,1,"1","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",9,33.619172,-84.510247,0,"0","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",10,33.619172,-84.510247,1,"1","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",11,33.619172,-84.510247,0,"1","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",12,33.619172,-84.510247,0,"0","1",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",13,33.619172,-84.510247,0,"0","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",14,33.619172,-84.510247,0,"1","0",NA,NA,NA,18.3402786175272
"Atlanta","19","NA",15,33.619172,-84.510247,0,"0","0",NA,NA,NA,18.3402786175272
"Atlanta","2","NA",1,33.578665,-84.680071,0,"1","0",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",2,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",3,33.578665,-84.680071,0,"1","0",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",4,33.578665,-84.680071,0,"0","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",5,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",6,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",7,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",8,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",9,33.578665,-84.680071,0,"0","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",10,33.578665,-84.680071,0,"1","0",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",11,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",12,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",13,33.578665,-84.680071,0,"0","1",NA,NA,NA,33.0068430032957
"Atlanta","2","NA",14,33.578665,-84.680071,1,"1","1",NA,NA,NA,33.0068430032957
"Atlanta","20","NA",1,33.620712,-84.503997,1,"1","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",2,33.620712,-84.503997,1,"1","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",3,33.620712,-84.503997,0,"1","0",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",4,33.620712,-84.503997,0,"0","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",5,33.620712,-84.503997,0,"0","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",6,33.620712,-84.503997,0,"0","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",7,33.620712,-84.503997,1,"1","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",8,33.620712,-84.503997,1,"1","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",9,33.620712,-84.503997,1,"1","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",10,33.620712,-84.503997,0,"0","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",11,33.620712,-84.503997,0,"0","0",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",12,33.620712,-84.503997,0,"0","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",13,33.620712,-84.503997,1,"1","1",NA,NA,NA,17.8521649690553
"Atlanta","20","NA",14,33.620712,-84.503997,0,NA,NA,NA,NA,NA,17.8521649690553
"Atlanta","20","NA",15,33.620712,-84.503997,0,"1","0",NA,NA,NA,17.8521649690553
"Atlanta","21","NA",1,33.622626,-84.488884,0,"0","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",2,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",3,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",4,33.622626,-84.488884,0,"0","0",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",5,33.622626,-84.488884,0,"0","0",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",6,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",7,33.622626,-84.488884,0,"0","0",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",8,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",9,33.622626,-84.488884,0,"0","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",10,33.622626,-84.488884,0,"0","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",11,33.622626,-84.488884,0,"0","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",12,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",13,33.622626,-84.488884,0,"0","0",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",14,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
"Atlanta","21","NA",15,33.622626,-84.488884,1,"1","1",NA,NA,NA,16.8703020395025
